resume,job,match_score
"Опыт работы с Python, анализ данных, машинное обучение.","Требуется специалист по машинному обучению, Python, анализ данных.",0.97
"Опыт работы с Python, анализ данных, машинное обучение.","Нужны навыки управления проектами, маркетинг, SEO, SMM.",0.08
"Опыт работы с Python, анализ данных, машинное обучение.","Вакансия веб-разработчика с опытом JavaScript, React.",0.46
"Опыт работы с Python, анализ данных, машинное обучение.",Ищем Data Scientist с опытом глубокого обучения и нейросетей.,0.07
"Опыт работы с Python, анализ данных, машинное обучение.","Специалист по цифровому маркетингу, контент и SMM.",0.0
"Опыт работы с Python, анализ данных, машинное обучение.",Frontend разработчик со знанием Angular и TypeScript.,0.46
"Управленец проектами, маркетинг, SEO, SMM.","Требуется специалист по машинному обучению, Python, анализ данных.",0.32
"Управленец проектами, маркетинг, SEO, SMM.","Нужны навыки управления проектами, маркетинг, SEO, SMM.",0.96
"Управленец проектами, маркетинг, SEO, SMM.","Вакансия веб-разработчика с опытом JavaScript, React.",0.13
"Управленец проектами, маркетинг, SEO, SMM.",Ищем Data Scientist с опытом глубокого обучения и нейросетей.,0.37
"Управленец проектами, маркетинг, SEO, SMM.","Специалист по цифровому маркетингу, контент и SMM.",0.37
"Управленец проектами, маркетинг, SEO, SMM.",Frontend разработчик со знанием Angular и TypeScript.,0.45
"Веб-разработчик, JavaScript, React.","Требуется специалист по машинному обучению, Python, анализ данных.",0.15
"Веб-разработчик, JavaScript, React.","Нужны навыки управления проектами, маркетинг, SEO, SMM.",0.28
"Веб-разработчик, JavaScript, React.","Вакансия веб-разработчика с опытом JavaScript, React.",0.71
"Веб-разработчик, JavaScript, React.",Ищем Data Scientist с опытом глубокого обучения и нейросетей.,0.42
"Веб-разработчик, JavaScript, React.","Специалист по цифровому маркетингу, контент и SMM.",0.37
"Веб-разработчик, JavaScript, React.",Frontend разработчик со знанием Angular и TypeScript.,0.45
"Специалист по Data Science, глубокое обучение, нейросети.","Требуется специалист по машинному обучению, Python, анализ данных.",0.38
"Специалист по Data Science, глубокое обучение, нейросети.","Нужны навыки управления проектами, маркетинг, SEO, SMM.",0.28
"Специалист по Data Science, глубокое обучение, нейросети.","Вакансия веб-разработчика с опытом JavaScript, React.",0.05
"Специалист по Data Science, глубокое обучение, нейросети.",Ищем Data Scientist с опытом глубокого обучения и нейросетей.,0.85
"Специалист по Data Science, глубокое обучение, нейросети.","Специалист по цифровому маркетингу, контент и SMM.",0.38
"Специалист по Data Science, глубокое обучение, нейросети.",Frontend разработчик со знанием Angular и TypeScript.,0.44
"Эксперт по цифровому маркетингу, контент-стратегия, SMM.","Требуется специалист по машинному обучению, Python, анализ данных.",0.19
"Эксперт по цифровому маркетингу, контент-стратегия, SMM.","Нужны навыки управления проектами, маркетинг, SEO, SMM.",0.29
"Эксперт по цифровому маркетингу, контент-стратегия, SMM.","Вакансия веб-разработчика с опытом JavaScript, React.",0.34
"Эксперт по цифровому маркетингу, контент-стратегия, SMM.",Ищем Data Scientist с опытом глубокого обучения и нейросетей.,0.02
"Эксперт по цифровому маркетингу, контент-стратегия, SMM.","Специалист по цифровому маркетингу, контент и SMM.",0.9
"Эксперт по цифровому маркетингу, контент-стратегия, SMM.",Frontend разработчик со знанием Angular и TypeScript.,0.11
"Frontend разработчик, Angular, TypeScript, JavaScript.","Требуется специалист по машинному обучению, Python, анализ данных.",0.38
"Frontend разработчик, Angular, TypeScript, JavaScript.","Нужны навыки управления проектами, маркетинг, SEO, SMM.",0.17
"Frontend разработчик, Angular, TypeScript, JavaScript.","Вакансия веб-разработчика с опытом JavaScript, React.",0.5
"Frontend разработчик, Angular, TypeScript, JavaScript.",Ищем Data Scientist с опытом глубокого обучения и нейросетей.,0.38
"Frontend разработчик, Angular, TypeScript, JavaScript.","Специалист по цифровому маркетингу, контент и SMM.",0.24
"Frontend разработчик, Angular, TypeScript, JavaScript.",Frontend разработчик со знанием Angular и TypeScript.,0.86
